,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
1090,2021/03/08 11:58:40 pm GMT+5:30,7,2,3,2,Library;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;2.2;Outside Campus,2,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Tech Market;Basketball/Tennis Courts;Outside Campus,11pm-12am,UG,2nd,RP Hall,MF
1091,2021/03/09 12:14:05 am GMT+5:30,5,4,4,3,Library;Main Building;Other Hall of Residence;Vikramshila;2.2;A Department,2,5,Your own Hall Canteen;Sahara;Tikka;Billoos;Smart Pind,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Library;Vikramshila;Netaji Auditorium;Nehru Museum,12am-1am,UG,3rd,RK Hall,EC
1092,2021/03/09 12:15:06 am GMT+5:30,2,3,4,2,Tech Market;2.2;Outside Campus,2,6,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;Super Duper;Tikka;Smart Pind;Other,7PM-9PM;9PM-11PM,2.2;Tech Market,I usually stay in my room,UG,5th,LBS Hall,BT
1093,2021/03/09 12:18:22 am GMT+5:30,3,3,2,5,Tech Market;Other Hall of Residence;Nalanda;2.2,1,6,Your own Hall Canteen;PFC;Tech Market;Peep Kitchen,5PM-7PM,Other Halls of Residence;2.2;Tech Market,11pm-12am,UG,4th,Nehru Hall,CH
1094,2021/03/09 12:30:42 am GMT+5:30,3,3,5,7,Gymkhana;Library;Main Building;Other Hall of Residence;Nalanda;2.2;A Department,2,9,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Food City;Billoos,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Main Building;Tech Market;Netaji Auditorium;A Department,1am-2am,UG,4th,MMM Hall,MF
1095,2021/03/09 12:32:14 am GMT+5:30,2,4,5,5,Gymkhana;Gymkhana Park;Library;Tech Market;Tata Sports Complex;2.2;Other,3,2,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Heritage;Tech Market;VSRC canteen;Subway,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Tata Sports Complex;Tech Market,10pm-11pm,PG,2nd,B R Ambedkar Hall,HS
1096,2021/03/09 12:33:25 am GMT+5:30,2,2,1,1,Gymkhana;Library;Tech Market,2,2,Your own Hall Canteen;Tech Market;Peep Kitchen;Dreamland;Sahara;Tikka;Smart Pind,5PM-7PM;7PM-9PM,Gymkhana;Tech Market,9pm-10pm,PG,2nd,VSRC,ME
1097,2021/03/09 12:36:25 am GMT+5:30,0,4,0,4,Library;Main Building;Tech Market,1,3,PFC;Peep Kitchen,9AM-11AM;5PM-7PM,Library;Main Building;Tech Market,I usually stay in my room,UG,4th,Azad Hall,EE
1098,2021/03/09 12:53:44 am GMT+5:30,8,4,5,6,Gymkhana Park;Main Building;Tech Market;Vikramshila;Nalanda;2.2;Outside Campus;Nehru Museum;Other,3,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;VSRC canteen;Tikka;Billoos;Other,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Nalanda Complex;Tech Market;Outside Campus;Other,2am-3am,UG,2nd,LBS Hall,EC
1099,2021/03/09 1:06:58 am GMT+5:30,1,1,2,2,Other,1,2,Tech Market,9AM-11AM,Other,9pm-10pm,PG,2nd,Rani Laxmibai Hall,AG
1100,2021/03/09 1:23:21 am GMT+5:30,2,3,5,3,Gymkhana;Library;Main Building;2.2,2,2,Your own Hall Canteen;PFC;CCD Mio Amore Area;Smart Pind;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,2.2;Library;Tech Market,12am-1am,UG,4th,LBS Hall,ME
1101,2021/03/09 1:45:12 am GMT+5:30,2,3,3,1,Library;Tech Market;2.2,1,2,Your own Hall Canteen;Tech Market;Food City,11AM-1PM;5PM-7PM;7PM-9PM,2.2;Tech Market,9pm-10pm,UG,2nd,LBS Hall,EE
1102,2021/03/09 2:28:18 am GMT+5:30,2,3,5,3,Gymkhana Park;Tech Market;2.2;A Department;Nehru Museum,2,6,Your own Hall Canteen;CCD Mio Amore Area;Peep Kitchen;VSRC canteen;Super Duper;Tikka;Smart Pind;I generally eat in my hall mess,1PM-3PM;5PM-7PM;9PM-11PM,Gymkhana Park;2.2;Tech Market;Netaji Auditorium;A Department,2am-3am,PG,4th,B R Ambedkar Hall,ME
1103,2021/03/09 6:59:43 am GMT+5:30,2,3,2,2,Gymkhana;Other Hall of Residence;2.2;Outside Campus;A Department,1,3,Your own Hall Canteen;Outside Campus,5PM-7PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2,12am-1am,UG,4th,RP Hall,
1104,2021/03/09 7:19:29 am GMT+5:30,2,2,2,3,Main Building;Other Hall of Residence;Tata Sports Complex;A Department,1,1,Your own Hall Canteen;Tech Market;Peep Kitchen,5PM-7PM;7PM-9PM,Other Halls of Residence;Main Building;Tata Sports Complex,11pm-12am,UG,4th,Nehru Hall,EC
1105,2021/03/09 8:18:29 am GMT+5:30,4,4,3,3,Gymkhana;Tech Market;Other Hall of Residence;Nalanda;2.2,2,3,Your own Hall Canteen;Tech Market;Food City,9AM-11AM;3PM-5PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Tech Market;Outside Campus;Netaji Auditorium,10pm-11pm,UG,4th,RP Hall,ME
1106,2021/03/09 8:53:55 am GMT+5:30,2,2,3,1,Tech Market,1,1,Tech Market;Super Duper,9AM-11AM;5PM-7PM,Tech Market,9pm-10pm,PG,1st,Other,CS
1107,2021/03/09 9:07:23 am GMT+5:30,1,0,1,2,Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;A Department,2,1,Your own Hall Canteen;Other Hall Canteens;Tech Market;I generally eat in my hall mess,7PM-9PM,Gymkhana Park;2.2;Library;Main Building;Tech Market;Netaji Auditorium,9pm-10pm,UG,3rd,LLR Hall,ME
1108,2021/03/09 9:09:15 am GMT+5:30,3,3,4,1,Tech Market;Nehru Museum,1,5,Other Hall Canteens;CCD Mio Amore Area;Tech Market,7PM-9PM,Tech Market,10pm-11pm,PG,2nd,B R Ambedkar Hall,ME
1109,2021/03/09 9:12:05 am GMT+5:30,2,2,1,4,Tech Market;Vikramshila;Outside Campus,2,3,Dreamland,5PM-7PM,Tech Market,10pm-11pm,PG,3rd,Other,EE
1110,2021/03/09 9:20:28 am GMT+5:30,4,3,3,3,Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus,2,5,Your own Hall Canteen;PFC;CCD Mio Amore Area;Food City,11AM-1PM;7PM-9PM;9PM-11PM,2.2;Main Building;Tech Market;Outside Campus;Other,10pm-11pm,UG,2nd,LBS Hall,CS
1111,2021/03/09 9:27:46 am GMT+5:30,1,2,5,4,Gymkhana;Library;Tech Market;Tata Sports Complex;Nalanda;A Department,2,5,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,9AM-11AM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Nalanda Complex;Tech Market;Netaji Auditorium,10pm-11pm,PG,2nd,MMM Hall,AE
1112,2021/03/09 9:29:12 am GMT+5:30,4,5,5,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;2.2;A Department;Other,4,4,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market;Food City;I generally eat in my hall mess,9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market,1am-2am,UG,5th,RK Hall,CE
1113,2021/03/09 9:30:32 am GMT+5:30,1,3,5,2,Gymkhana;Tech Market;Other Hall of Residence;Tata Sports Complex;2.2;A Department,2,1,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,PG,2nd,MS Hall,CS
1114,2021/03/09 9:58:39 am GMT+5:30,3,2,3,7,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Nehru Museum;Other,2,3,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Tikka,9PM-11PM,Gymkhana Park;Tata Sports Complex,9pm-10pm,PG,1st,MMM Hall,CE
1115,2021/03/09 10:04:19 am GMT+5:30,5,2,3,3,Library;Tech Market;A Department,1,3,Outside Campus;CCD Mio Amore Area;Tech Market,7PM-9PM,Tech Market;Outside Campus,9pm-10pm,PG,2nd,LBS Hall,EC
1116,2021/03/09 10:07:08 am GMT+5:30,3,3,3,4,Gymkhana;Gymkhana Park;Tech Market;Tata Sports Complex,3,3,Your own Hall Canteen;PFC;Smart Pind,7PM-9PM,2.2;Tech Market;Netaji Auditorium,10pm-11pm,UG,4th,Azad Hall,ME
1117,2021/03/09 10:21:01 am GMT+5:30,3,3,1,8,Main Building,1,7,Your own Hall Canteen;PFC;Other Hall Canteens,9PM-11PM,Other Halls of Residence,12am-1am,UG,3rd,Azad Hall,CS
1118,2021/03/09 10:42:25 am GMT+5:30,0,1,1,1,Gymkhana;Tech Market;A Department,1,1,Tech Market;VSRC canteen,9AM-11AM;5PM-7PM,Tech Market;A Department,9pm-10pm,PG,3rd,VSRC,ME
1119,2021/03/09 10:47:12 am GMT+5:30,4,4,5,2,Gymkhana Park;Library;Tech Market;Other Hall of Residence;2.2;A Department,2,3,Your own Hall Canteen;Other Hall Canteens;Tech Market;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market;Netaji Auditorium,2am-3am,UG,2nd,Azad Hall,AR
1120,2021/03/09 10:47:22 am GMT+5:30,4,5,5,7,Gymkhana;Library;Main Building;Other Hall of Residence;Tata Sports Complex;Nalanda;2.2;Other,4,7,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Smart Pind;Subway,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Library;Main Building;Tech Market,12am-1am,UG,4th,Patel Hall,ME
1121,2021/03/09 11:06:57 am GMT+5:30,2,2,5,7,Library;Main Building;Other Hall of Residence;Vikramshila;2.2,2,2,PFC;Tech Market;Food City;Tikka,11AM-1PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Vikramshila;Tech Market,10pm-11pm,UG,2nd,LBS Hall,CS
1122,2021/03/09 11:12:13 am GMT+5:30,0,2,1,1,Tech Market,1,2,Your own Hall Canteen;Peep Kitchen;Food City,9AM-11AM;7PM-9PM,Tech Market,9pm-10pm,PG,2nd,B C Roy Hall,MA
1123,2021/03/09 11:21:37 am GMT+5:30,3,1,3,2,Library;Tech Market;2.2,1,1,CCD Mio Amore Area;Tech Market,5PM-7PM,Library;Tech Market,9pm-10pm,UG,4th,SN-IG Hall,ME
1124,2021/03/09 11:38:24 am GMT+5:30,1,2,5,2,Library;Tech Market;Tata Sports Complex,2,1,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,5PM-7PM,Tata Sports Complex;Tech Market;Outside Campus,9pm-10pm,PG,3rd,Rani Laxmibai Hall,GG
1125,2021/03/09 11:45:12 am GMT+5:30,3,1,0,0,I don't go anywhere,0,1,I generally eat in my hall mess,Never,I don't go anywhere,10pm-11pm,UG,3rd,Nehru Hall,BT
1126,2021/03/09 11:55:56 am GMT+5:30,1,2,3,2,Library;Tech Market;Nalanda,1,1,CCD Mio Amore Area;Tech Market;Super Duper,5PM-7PM;7PM-9PM,Tech Market;Outside Campus,10pm-11pm,PG,3rd,Rani Laxmibai Hall,
1127,2021/03/09 12:12:59 pm GMT+5:30,1,1,1,3,Tech Market,1,2,Tech Market;I generally eat in my hall mess,5PM-7PM,Tech Market,9pm-10pm,PG,2nd,LBS Hall,AG
1128,2021/03/09 12:13:16 pm GMT+5:30,2,4,3,2,Gymkhana;Main Building;Tata Sports Complex;Vikramshila;Nalanda;2.2,1,1,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Netaji Auditorium,11pm-12am,UG,2nd,RP Hall,IM
1129,2021/03/09 12:17:19 pm GMT+5:30,4,3,5,3,Tech Market;Other Hall of Residence;2.2;Outside Campus;Other,2,3,Heritage;Tech Market;Peep Kitchen;Other,9AM-11AM;5PM-7PM,Outside Campus,9pm-10pm,PG,2nd,Other,CE
1130,2021/03/09 12:30:55 pm GMT+5:30,3,3,5,1,Gymkhana;Library;Vikramshila;Nalanda;2.2,2,1,I generally eat in my hall mess,9AM-11AM;5PM-7PM;7PM-9PM,Gymkhana;2.2;Library;Tech Market,9pm-10pm,UG,2nd,SN-IG Hall,EE
1131,2021/03/09 12:36:07 pm GMT+5:30,1,3,5,3,Gymkhana;Library;Tech Market;Other Hall of Residence;2.2,2,6,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Tikka,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Tech Market;Outside Campus,12am-1am,UG,3rd,RK Hall,ME
1132,2021/03/09 12:45:46 pm GMT+5:30,2,2,2,3,Library;Main Building;Tech Market;Vikramshila;Nalanda;2.2,1,2,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Food City;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM,2.2;Tech Market,10pm-11pm,UG,2nd,SN-IG Hall,EE
1133,2021/03/09 12:50:14 pm GMT+5:30,4,3,2,4,Library;Tech Market;2.2,2,3,Heritage;Tech Market;Food City;Tikka;I generally eat in my hall mess,11AM-1PM;7PM-9PM,2.2;Library;Tech Market,2am-3am,UG,2nd,MT Hall,CS
1134,2021/03/09 12:51:47 pm GMT+5:30,4,1,1,0,Library;Main Building;Tech Market;Nalanda;A Department,1,2,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Food City;Tikka,5PM-7PM;7PM-9PM,2.2;Library;Main Building;Tech Market,I usually stay in my room,UG,2nd,SN-IG Hall,EC
1135,2021/03/09 12:52:22 pm GMT+5:30,0,3,2,3,Library,1,0,Veggies;I generally eat in my hall mess,9PM-11PM,Library;Tech Market;I don't go anywhere,11pm-12am,UG,2nd,SN-IG Hall,CE
1136,2021/03/09 12:57:28 pm GMT+5:30,2,5,5,7,Library;Tech Market;Other,4,4,VSRC canteen;Tikka;I generally eat in my hall mess,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other,2am-3am,UG,2nd,MT Hall,IM
1137,2021/03/09 1:21:39 pm GMT+5:30,3,3,2,2,Gymkhana;Library;Tech Market;2.2,1,1,Your own Hall Canteen;Tech Market,9PM-11PM,Gymkhana;2.2,11pm-12am,UG,2nd,Patel Hall,EC
1138,2021/03/09 1:23:04 pm GMT+5:30,1,1,1,2,Library;Tech Market,1,1,Your own Hall Canteen;CCD Mio Amore Area;I generally eat in my hall mess,11AM-1PM;7PM-9PM,Library;Tech Market,I usually stay in my room,PG,2nd,MS Hall,CH
1139,2021/03/09 1:23:28 pm GMT+5:30,4,5,5,8,Main Building;Tech Market;Tata Sports Complex,3,4,Your own Hall Canteen,9AM-11AM;5PM-7PM,Library;Main Building;Tech Market,11pm-12am,PG,2nd,MS Hall,EC
1140,2021/03/09 1:28:30 pm GMT+5:30,1,2,4,2,Library;Main Building;Tech Market,0,0,I generally eat in my hall mess,7PM-9PM;9PM-11PM,Library;Main Building,11pm-12am,UG,2nd,SN-IG Hall,EC
1141,2021/03/09 1:29:46 pm GMT+5:30,1,3,5,4,Library;Vikramshila;Nalanda;Other,2,6,Other Hall Canteens;CCD Mio Amore Area;Veggies;VSRC canteen;Tikka,9PM-11PM,2.2;Library;Nalanda Complex;Vikramshila;Other,12am-1am,UG,2nd,Nivedita Hall,GG
1142,2021/03/09 1:53:47 pm GMT+5:30,2,2,5,3,Tech Market;Tata Sports Complex;Vikramshila;Nalanda;2.2;Outside Campus,2,1,I generally eat in my hall mess,7PM-9PM,Gymkhana Park;2.2;Nalanda Complex;Vikramshila;Tech Market;Outside Campus,10pm-11pm,PG,2nd,JCB Hall,GG
1143,2021/03/09 2:51:12 pm GMT+5:30,1,2,2,3,Library;Tech Market;2.2,1,1,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,9AM-11AM,Other Halls of Residence;Library,12am-1am,UG,2nd,LBS Hall,EC
1144,2021/03/09 3:02:41 pm GMT+5:30,4,3,5,8,Main Building;Tech Market;2.2;Outside Campus;A Department,2,5,Your own Hall Canteen;PFC;Outside Campus;Tech Market;Veggies,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Main Building;Tech Market;Outside Campus;Other,12am-1am,UG,4th,LBS Hall,AE
1145,2021/03/09 3:29:05 pm GMT+5:30,8,3,5,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Tata Sports Complex;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Nehru Museum,4,10,PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;VSRC canteen;Dreamland;Sahara;Super Duper;Tikka;Billoos;Smart Pind;Subway;Other,11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Outside Campus;Netaji Auditorium;A Department;Nehru Museum;Other,2am-3am,PG,2nd,SAM Hall,CS
1146,2021/03/09 4:07:04 pm GMT+5:30,3,1,5,2,Tech Market;Other Hall of Residence,1,1,I generally eat in my hall mess,9PM-11PM,Other Halls of Residence;Gymkhana Park;Tech Market,9pm-10pm,PG,2nd,MMM Hall,CH
1147,2021/03/09 4:07:24 pm GMT+5:30,3,3,1,1,Gymkhana;Library;Main Building;Tech Market;2.2;A Department,3,2,Your own Hall Canteen;I generally eat in my hall mess,3PM-5PM;5PM-7PM,Other Halls of Residence;Gymkhana;2.2;Library;Main Building;Tech Market,I usually stay in my room,UG,2nd,SN-IG Hall,GG
1148,2021/03/09 4:23:39 pm GMT+5:30,3,5,3,3,Gymkhana;Library;Tech Market;Tata Sports Complex;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Nehru Museum;Other,2,4,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;VSRC canteen;Tikka;Smart Pind;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Basketball/Tennis Courts;Outside Campus;Netaji Auditorium;A Department;Nehru Museum;Other,1am-2am,UG,3rd,SN-IG Hall,AR
1149,2021/03/09 5:35:47 pm GMT+5:30,1,1,5,1,Gymkhana;Library;Tech Market,1,1,Other Hall Canteens;Outside Campus;I generally eat in my hall mess,5PM-7PM,Outside Campus,I usually stay in my room,PG,2nd,MMM Hall,
1150,2021/03/09 6:12:06 pm GMT+5:30,1,1,0,1,I don't go anywhere,0,1,I generally eat in my hall mess,9AM-11AM,Tech Market,I usually stay in my room,PG,1st,MMM Hall,AG
1151,2021/03/09 8:01:41 pm GMT+5:30,3,2,5,3,Library;Main Building;Tech Market;2.2,2,2,Other Hall Canteens;Tikka,11AM-1PM;7PM-9PM,2.2;Library;Main Building;Nehru Museum,10pm-11pm,UG,4th,MT Hall,MA
1152,2021/03/09 8:31:06 pm GMT+5:30,1,1,1,1,A Department,1,1,Your own Hall Canteen,5PM-7PM,A Department,9pm-10pm,PG,1st,MMM Hall,BT
1153,2021/03/09 9:14:45 pm GMT+5:30,3,1,5,1,Other Hall of Residence,0,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Tech Market;VSRC canteen,5PM-7PM;7PM-9PM,Other Halls of Residence;Tech Market,11pm-12am,UG,5th,RP Hall,IM
1154,2021/03/09 9:42:41 pm GMT+5:30,1,2,2,4,Tech Market;Basketball/Tennis courts,2,1,Your own Hall Canteen;I generally eat in my hall mess,3PM-5PM;5PM-7PM,2.2;Basketball/Tennis Courts,9pm-10pm,UG,2nd,LBS Hall,MI
1155,2021/03/09 9:47:55 pm GMT+5:30,2,2,4,4,Gymkhana;Library;Main Building;Other Hall of Residence;2.2;Outside Campus;A Department,2,4,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Smart Pind;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Main Building;Tech Market;Outside Campus;Netaji Auditorium;Other,2am-3am,UG,3rd,MMM Hall,IM
1156,2021/03/09 10:16:42 pm GMT+5:30,2,5,5,3,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Vikramshila;2.2,1,1,Your own Hall Canteen;PFC;Tech Market,9AM-11AM;11AM-1PM;7PM-9PM,Gymkhana;Gymkhana Park;2.2;Library;Tech Market,12am-1am,UG,2nd,Azad Hall,CE
1157,2021/03/09 10:34:01 pm GMT+5:30,0,5,5,4,Gymkhana;Library;Main Building;Vikramshila;Nalanda,2,3,PFC;Heritage;Peep Kitchen;Dreamland;I generally eat in my hall mess,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Library;Main Building;Tata Sports Complex;Tech Market;Basketball/Tennis Courts;Netaji Auditorium,12am-1am,UG,4th,LLR Hall,ME
1158,2021/03/09 10:38:34 pm GMT+5:30,2,3,3,1,Tech Market;Nalanda;2.2;A Department,2,4,Your own Hall Canteen;Food City;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Other Halls of Residence;2.2;Tech Market,9pm-10pm,UG,4th,MS Hall,CE
1159,2021/03/09 10:40:36 pm GMT+5:30,2,5,0,0,Tech Market;Tata Sports Complex;2.2,0,0,I generally eat in my hall mess,7PM-9PM,2.2;Tata Sports Complex;Tech Market,10pm-11pm,UG,4th,MMM Hall,CE
1160,2021/03/09 11:51:05 pm GMT+5:30,1,2,5,3,Gymkhana;Tech Market;Other Hall of Residence;2.2;Outside Campus,4,4,Other Hall Canteens;Tech Market;Veggies;Food City;VSRC canteen;Tikka;Billoos;Smart Pind,5PM-7PM,Other Halls of Residence;2.2;Tech Market;A Department,10pm-11pm,PG,3rd,VSRC,AG
1161,2021/03/10 6:45:07 am GMT+5:30,2,3,5,2,Library;Tech Market;Other Hall of Residence,2,3,Your own Hall Canteen;Other Hall Canteens;Tech Market;Other,5PM-7PM;7PM-9PM,Other Halls of Residence;Library,10pm-11pm,UG,4th,B R Ambedkar Hall,PH
1162,2021/03/10 7:29:40 am GMT+5:30,0,2,5,1,Tech Market;A Department,2,7,Tech Market,9AM-11AM;5PM-7PM,Tech Market;A Department,9pm-10pm,PG,3rd,B R Ambedkar Hall,MA
1163,2021/03/10 7:47:04 am GMT+5:30,5,3,5,5,Library;Tech Market;Outside Campus;Other,2,5,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Food City,1PM-3PM;7PM-9PM,2.2;Tech Market;Other,12am-1am,UG,2nd,LBS Hall,EC
1164,2021/03/10 9:25:25 am GMT+5:30,2,2,1,1,I don't go anywhere,1,0,I generally eat in my hall mess,Never,I don't go anywhere,I usually stay in my room,PG,1st,MMM Hall,EE
1165,2021/03/10 9:28:13 am GMT+5:30,2,2,2,2,Library;Tech Market,1,1,Your own Hall Canteen,5PM-7PM,Library;Tech Market,10pm-11pm,UG,2nd,RP Hall,AE
1166,2021/03/10 9:40:34 am GMT+5:30,5,2,3,4,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;2.2,1,7,Your own Hall Canteen;PFC;Outside Campus;Tech Market;Other,11AM-1PM;1PM-3PM;9PM-11PM,Other Halls of Residence;Gymkhana;Library;Outside Campus;Other,11pm-12am,UG,3rd,Azad Hall,EC
1167,2021/03/10 9:56:07 am GMT+5:30,3,2,2,2,Gymkhana;Library;Tech Market,1,1,Your own Hall Canteen;VSRC canteen;I generally eat in my hall mess,9AM-11AM;5PM-7PM,Tech Market;A Department,I usually stay in my room,PG,1st,B R Ambedkar Hall,MT
1168,2021/03/10 10:20:18 am GMT+5:30,1,2,4,1,Library;Basketball/Tennis courts;Nalanda;A Department,2,1,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM,Library;Basketball/Tennis Courts,9pm-10pm,PG,2nd,MMM Hall,CE
1169,2021/03/10 11:07:01 am GMT+5:30,5,4,5,3,Library;Main Building;Vikramshila;Nalanda,2,2,Tech Market;Veggies;Food City;Tikka;Billoos;Subway,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,2.2;Library;Main Building;Nalanda Complex;Vikramshila;Tech Market,1am-2am,UG,2nd,MT Hall,EE
1170,2021/03/10 12:11:18 pm GMT+5:30,3,2,3,3,Library;Main Building;Nalanda,3,5,Your own Hall Canteen;Peep Kitchen;Food City,Never,I don't go anywhere,12am-1am,UG,2nd,RP Hall,MA
1172,2021/03/10 2:47:34 pm GMT+5:30,1,3,2,7,Tech Market;Tata Sports Complex;Outside Campus;A Department,3,3,Outside Campus;Tech Market;Tikka,5PM-7PM;7PM-9PM,Tata Sports Complex;Tech Market,10pm-11pm,PG,2nd,VSRC,CS
1173,2021/03/10 5:47:59 pm GMT+5:30,5,3,5,3,Gymkhana;Gymkhana Park;Tech Market;Other Hall of Residence;Tata Sports Complex;Vikramshila;Nalanda;2.2;Outside Campus,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Food City;Tikka;Other,1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Main Building;Tata Sports Complex;Tech Market;Outside Campus;Netaji Auditorium;Nehru Museum,12am-1am,UG,2nd,LBS Hall,MA
